amfi_code,fund_name,fund_house,category,sub_category,risk_grade,launch_date,aum_amount_crores
100001,SBI Large Cap Fund - Regular Growth (100001),SBI Mutual Fund,Equity,Large Cap,Very High,2016-04-15,123199.39
100002,HDFC Mid Cap Fund - Direct Growth (100002),HDFC Mutual Fund,Equity,Mid Cap,High,2014-07-26,11239.78
100003,ICICI Prudential Small Cap Fund - Regular Growth (100003),ICICI Prudential Mutual Fund,Equity,Small Cap,Very High,2020-11-24,18348.34
100004,Nippon India Flexi Cap Fund - Direct Growth (100004),Nippon India Mutual Fund,Equity,Flexi Cap,High,2017-08-03,5823.38
100005,Kotak Mahindra Large Cap Fund - Regular Growth (100005),Kotak Mahindra Mutual Fund,Equity,Large Cap,Very High,2011-08-12,42542.11
100006,Axis Mid Cap Fund - Direct Growth (100006),Axis Mutual Fund,Equity,Mid Cap,High,2011-12-21,29699.26
100007,UTI Small Cap Fund - Regular Growth (100007),UTI Mutual Fund,Equity,Small Cap,Very High,2019-06-12,5922.5
100008,Aditya Birla Sun Life Flexi Cap Fund - Direct Growth (100008),Aditya Birla Sun Life Mutual Fund,Equity,Flexi Cap,High,2020-11-10,6866.63
100009,SBI Large Cap Fund - Regular Growth (100009),SBI Mutual Fund,Equity,Large Cap,Very High,2012-12-23,148323.09
100010,HDFC Mid Cap Fund - Direct Growth (100010),HDFC Mutual Fund,Equity,Mid Cap,High,2018-03-05,29301.79
100011,ICICI Prudential Small Cap Fund - Regular Growth (100011),ICICI Prudential Mutual Fund,Equity,Small Cap,Very High,2014-09-07,5530.6
100012,Nippon India Flexi Cap Fund - Direct Growth (100012),Nippon India Mutual Fund,Equity,Flexi Cap,High,2018-12-14,37335.89
100013,Kotak Mahindra Large Cap Fund - Regular Growth (100013),Kotak Mahindra Mutual Fund,Equity,Large Cap,Very High,2018-10-21,14235.75
100014,Axis Mid Cap Fund - Direct Growth (100014),Axis Mutual Fund,Equity,Mid Cap,High,2016-12-08,6375.54
100015,UTI Small Cap Fund - Regular Growth (100015),UTI Mutual Fund,Equity,Small Cap,Very High,2010-04-18,31500.89
100016,Aditya Birla Sun Life Flexi Cap Fund - Direct Growth (100016),Aditya Birla Sun Life Mutual Fund,Equity,Flexi Cap,High,2011-06-22,26868.41
100017,SBI Large Cap Fund - Regular Growth (100017),SBI Mutual Fund,Equity,Large Cap,Very High,2015-02-26,94975.41
